"Person","NGO-ID","Organisation","Anzahl verbundene Organisationen","Datenstand"
"Beat Imhof","NGO-0058","GastroSuisse","3","13.08.2026"
"Beat Imhof","NGO-0032","GastroSuisse / Schweizerischer Arbeitgeberverband","3","13.08.2026"
"Beat Imhof","NGO-0100","sgv / Schweizerischer Arbeitgeberverband","3","13.08.2026"
"Carlo Sommaruga","NGO-0017","SWISSAID","3","13.08.2026"
"Carlo Sommaruga","NGO-0035","Solidar Suisse / SWISSAID","3","13.08.2026"
"Carlo Sommaruga","NGO-0041","Mieterinnen- und Mieterverband Schweiz / SWISSAID","3","13.08.2026"
"Michael Töngi","NGO-0005","VCS Verkehrs-Club der Schweiz","3","13.08.2026"
"Michael Töngi","NGO-0035","VCS Verkehrs-Club der Schweiz","3","13.08.2026"
"Michael Töngi","NGO-0043","Mieterinnen- und Mieterverband / VCS","3","13.08.2026"
"Adrian Förster","NGO-0009","Save the Children Schweiz","2","13.08.2026"
"Adrian Förster","NGO-0064","Schweizerische Flüchtlingshilfe","2","13.08.2026"
"Aina Waeber","NGO-0027","Brava","2","13.08.2026"
"Aina Waeber","NGO-0096","SAJV","2","13.08.2026"
"Annette Luther","NGO-0031","scienceindustries","2","13.08.2026"
"Annette Luther","NGO-0089","economiesuisse","2","13.08.2026"
"Brigitte Wolf","NGO-0003","Pro Natura","2","13.08.2026"
"Brigitte Wolf","NGO-0049","Pro Natura","2","13.08.2026"
"Christian Dandrès","NGO-0033","Mieterinnen- und Mieterverband Schweiz","2","13.08.2026"
"Christian Dandrès","NGO-0035","Mieterinnen- und Mieterverband Schweiz","2","13.08.2026"
"Christine Badertscher","NGO-0017","SWISSAID","2","13.08.2026"
"Christine Badertscher","NGO-0083","SWISSAID","2","13.08.2026"
"Christoph Mäder","NGO-0058","economiesuisse","2","13.08.2026"
"Christoph Mäder","NGO-0031","economiesuisse","2","13.08.2026"
"Claire-Andrée Nobs","NGO-0019","insieme Schweiz","2","13.08.2026"
"Claire-Andrée Nobs","NGO-0065","Inclusion Handicap","2","13.08.2026"
"David Raedler","NGO-0005","VCS Verkehrs-Club der Schweiz","2","13.08.2026"
"David Raedler","NGO-0043","VCS Verkehrs-Club der Schweiz","2","13.08.2026"
"Delphine Klopfenstein Broggini","NGO-0003","Pro Natura","2","13.08.2026"
"Delphine Klopfenstein Broggini","NGO-0068","Pro Natura","2","13.08.2026"
"Diana Gutjahr","NGO-0030","Kompass/Europa","2","13.08.2026"
"Diana Gutjahr","NGO-0032","Schweizerischer Gewerbeverband sgv","2","13.08.2026"
"Edith Siegenthaler","NGO-0035","Travail.Suisse","2","13.08.2026"
"Edith Siegenthaler","NGO-0059","Mieterinnen- und Mieterverband Schweiz","2","13.08.2026"
"Emirhan Darcan","NGO-0011","AsyLex","2","13.08.2026"
"Emirhan Darcan","NGO-0073","GSUN / AsyLex","2","13.08.2026"
"Fabienne Serna","NGO-0019","Autismus Schweiz","2","13.08.2026"
"Fabienne Serna","NGO-0075","Inclusion Handicap","2","13.08.2026"
"Hans Isler","NGO-0092","Geneva Call","2","13.08.2026"
"Hans Isler","NGO-0040","Geneva Call","2","13.08.2026"
"Isabelle Pasquier-Eichenberger","NGO-0005","VCS Verkehrs-Club der Schweiz","2","13.08.2026"
"Isabelle Pasquier-Eichenberger","NGO-0049","VCS Verkehrs-Club der Schweiz","2","13.08.2026"
"Léonore Porchet","NGO-0091","Stiftung SEXUELLE GESUNDHEIT SCHWEIZ","2","13.08.2026"
"Léonore Porchet","NGO-0059","Travail.Suisse / Sexuelle Gesundheit Schweiz","2","13.08.2026"
"Marc Briol","NGO-0092","Geneva Call","2","13.08.2026"
"Marc Briol","NGO-0040","Geneva Call","2","13.08.2026"
"Marcel Rohner","NGO-0031","Schweizerische Bankiervereinigung","2","13.08.2026"
"Marcel Rohner","NGO-0079","economiesuisse","2","13.08.2026"
"Marie Juillard","NGO-0047","foraus – Forum Aussenpolitik","2","13.08.2026"
"Marie Juillard","NGO-0073","GSUN / foraus","2","13.08.2026"
"Markus Schefer","NGO-0019","Inclusion Handicap","2","13.08.2026"
"Markus Schefer","NGO-0042","Inclusion Handicap","2","13.08.2026"
"Martin Hirzel","NGO-0031","Swissmem","2","13.08.2026"
"Martin Hirzel","NGO-0069","economiesuisse / Schweizerische Nationalbank","2","13.08.2026"
"Maya Graf","NGO-0060","alliance F","2","13.08.2026"
"Maya Graf","NGO-0108","Biovision","2","13.08.2026"
"Min Li Marti","NGO-0060","alliance F","2","13.08.2026"
"Min Li Marti","NGO-0071","alliance F","2","13.08.2026"
"Monika Maire-Hefti","NGO-0012","EKFF / Stiftung SZH / insieme","2","13.08.2026"
"Monika Maire-Hefti","NGO-0065","Caritas Schweiz","2","13.08.2026"
