datum,uhrzeit,gemeinde,anzahl
22.05.2026,22:00,Erlenbach (ZH),1
22.05.2026,22:00,Uitikon,1
22.05.2026,22:00,Wettswil am Albis,1
23.05.2026,12:00,Birmensdorf (ZH),1
23.05.2026,12:00,Wettswil am Albis,1
26.05.2026,20:00,Wollerau,1
26.05.2026,21:00,Wollerau,1
26.05.2026,22:00,Pfäffikon,1
26.05.2026,19:00,Bonstetten,1
26.05.2026,19:00,Wettswil am Albis,1
27.05.2026,09:00,Reinach (BL),1
27.05.2026,09:00,Fehren,1
27.05.2026,09:00,Dornach,1
27.05.2026,09:00,Birsfelden,1
27.05.2026,09:00,Emmen,1
27.05.2026,09:00,Cham,1
